columns_less_than_50_missing
Surface_habitable_immeuble
Conso_chauffage_é_finale_énergie_n°2
Coût_chauffage_énergie_n°2
Coût_total_5_usages_énergie_n°2
Conso_5_usages_é_finale_énergie_n°2
Type_énergie_n°2
Type_ventilation
Surface_ventilée
Ventilation_postérieure_2012_(0/1)
Appartement_non_visité_(0/1)
Type_installation_ECS_(général)
Nombre_niveau_immeuble
Complément_d'adresse_logement
Type_installation_chauffage
Présence_production_PV_(0/1)
N°_voie_(BAN)
Nombre_appartement
Année_construction
Description_générateur_chauffage_n°1_installation_n°1
Qualité_isolation_plancher_bas
Description_installation_chauffage_n°1
N°_région_(BAN)
N°_département_(BAN)
Besoin_refroidissement_dépensier
Conso_chauffage_dépensier_générateur_n°1_installation_n°1
Conso_chauffage_générateur_n°1_installation_n°1
Production_électricité_PV_(kWhep/an)
Type_émetteur_installation_chauffage_n°1
Surface_chauffée_installation_chauffage_n°1
Déperditions_murs
Conso_chauffage_é_finale
Conso_5_usages_é_finale
Conso_5_usages/m²_é_finale
Deperditions_enveloppe
Apports_internes_saison_chauffe_
Ubat_W/m²_K
Apports_internes_saison_froid
Apports_solaires_saison_froid
Besoin_refroidissement
Type_énergie_générateur_n°1_installation_n°1
Usage_générateur_n°1_installation_n°1
Type_générateur_n°1_installation_n°1
Conso_chauffage_installation_chauffage_n°1
Conso_chauffage_dépensier_installation_chauffage_n°1
Configuration_installation_chauffage_n°1
Type_énergie_principale_chauffage
Type_installation_chauffage_n°1
Besoin_chauffage
Apports_solaires_saison_chauffe
Conso_5_usages_é_finale_énergie_n°1
Conso_refroidissement_dépensier_é_primaire
Conso_chauffage_dépensier_é_primaire
Conso_refroidissement_é_primaire
Conso_éclairage_é_primaire
Nom__rue_(BAN)
Conso_chauffage_é_primaire
Statut_géocodage
Identifiant__BAN
Adresse_(BAN)
Code_postal_(BAN)
Code_INSEE_(BAN)
Coordonnée_cartographique_X_(BAN)
Score_BAN
Coordonnée_cartographique_Y_(BAN)
Nom__commune_(BAN)
Deperditions_planchers_bas
Deperditions_planchers_hauts
Conso_chauffage_dépensier_é_finale
Conso_chauffage_é_finale_énergie_n°1
Coût_total_5_usages
Déperditions_portes
Déperditions_ponts_thermiques
Deperditions_baies_vitrées
Déperditions_renouvellement_air
Coût_chauffage
Coût_total_5_usages_énergie_n°1
Qualité_isolation_murs
Conso_éclairage_é_finale
Coût_chauffage_dépensier
Coût_ECS_énergie_n°1
Conso_5_usages_par_m²_é_primaire
Conso_ECS_é_finale_énergie_n°1
Coût_chauffage_énergie_n°1
Coût_éclairage
Coût_refroidissement_dépensier
Conso_5_usages_é_primaire
Qualité_isolation_menuiseries
Qualité_isolation_enveloppe
Coût_refroidissement
Conso_refroidissement_é_finale
Type_énergie_n°1
Conso_refroidissement_dépensier_é_finale
Code_postal_(brut)
Nombre_niveau_logement
Surface_habitable_logement
Période_construction
Date_visite_diagnostiqueur
Méthode_application_DPE
Hauteur_sous-plafond
Modèle_DPE
Version_DPE
Etiquette_DPE
Zone_climatique_
Classe_altitude
Classe_inertie_bâtiment
Date_établissement_DPE
Adresse_brute
Type_bâtiment
Date_réception_DPE
N°DPE
